time,treatment,event
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
5,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
1,control,1
1,control,1
1,control,1
7,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,1
21,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
16,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
19,control,1
19,control,1
19,control,1
19,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
10,control,1
10,control,1
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
1,control,1
19,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
7,control,1
7,control,1
19,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
6,control,1
6,control,1
9,control,1
21,control,1
21,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
2,control,1
20,control,1
20,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
9,control,1
14,control,1
14,control,1
21,control,1
21,control,1
21,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
5,control,1
7,control,1
18,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
5,control,1
5,control,1
5,control,1
5,control,1
8,control,1
8,control,1
8,control,1
13,control,1
13,control,1
13,control,1
13,control,1
13,control,1
13,control,1
13,control,1
13,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
4,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
2,control,1
12,control,1
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
12,control,1
12,control,1
12,control,1
12,control,1
12,control,1
12,control,1
12,control,1
12,control,1
12,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
1,control,1
6,control,1
11,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
1,control,1
4,control,1
11,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
6,control,0
1,3%,1
1,3%,1
1,3%,1
7,3%,1
8,3%,1
10,3%,1
11,3%,1
13,3%,1
14,3%,1
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
4,3%,1
5,3%,1
5,3%,1
7,3%,1
8,3%,1
8,3%,1
8,3%,1
8,3%,1
9,3%,1
9,3%,1
11,3%,1
11,3%,1
11,3%,1
13,3%,1
13,3%,1
13,3%,1
13,3%,1
13,3%,1
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
7,3%,1
3,3%,1
3,3%,1
3,3%,1
4,3%,1
7,3%,1
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
7,3%,1
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
13,3%,1
13,3%,1
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
5,3%,1
6,3%,1
14,3%,1
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
5,3%,1
6,3%,1
14,3%,1
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
1,3%,1
1,3%,1
3,3%,1
4,3%,1
4,3%,1
4,3%,1
4,3%,1
7,3%,1
7,3%,1
11,3%,1
11,3%,1
11,3%,1
11,3%,1
11,3%,1
19,3%,1
19,3%,1
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
21,3%,0
1,6%,1
1,6%,1
1,6%,1
3,6%,1
7,6%,1
7,6%,1
7,6%,1
9,6%,1
9,6%,1
9,6%,1
11,6%,1
12,6%,1
13,6%,1
14,6%,1
14,6%,1
20,6%,1
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
5,6%,1
5,6%,1
8,6%,1
10,6%,1
10,6%,1
10,6%,1
10,6%,1
17,6%,1
17,6%,1
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
5,6%,1
9,6%,1
9,6%,1
10,6%,1
10,6%,1
10,6%,1
12,6%,1
12,6%,1
12,6%,1
13,6%,1
13,6%,1
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
1,6%,1
2,6%,1
2,6%,1
4,6%,1
5,6%,1
5,6%,1
7,6%,1
12,6%,1
12,6%,1
13,6%,1
14,6%,1
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
1,6%,1
2,6%,1
2,6%,1
4,6%,1
5,6%,1
5,6%,1
7,6%,1
12,6%,1
12,6%,1
13,6%,1
14,6%,1
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
1,6%,1
4,6%,1
7,6%,1
11,6%,1
13,6%,1
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
5,6%,1
6,6%,1
6,6%,1
12,6%,1
12,6%,1
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
2,6%,1
2,6%,1
2,6%,1
2,6%,1
2,6%,1
3,6%,1
3,6%,1
4,6%,1
10,6%,1
10,6%,1
19,6%,1
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
1,6%,1
2,6%,1
2,6%,1
2,6%,1
2,6%,1
2,6%,1
2,6%,1
3,6%,1
3,6%,1
10,6%,1
10,6%,1
19,6%,1
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
7,6%,1
7,6%,1
7,6%,1
10,6%,1
10,6%,1
10,6%,1
10,6%,1
10,6%,1
10,6%,1
12,6%,1
12,6%,1
19,6%,1
19,6%,1
19,6%,1
19,6%,1
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
21,6%,0
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
2,10%,1
2,10%,1
2,10%,1
2,10%,1
2,10%,1
2,10%,1
2,10%,1
3,10%,1
3,10%,1
4,10%,1
4,10%,1
4,10%,1
4,10%,1
4,10%,1
4,10%,1
21,10%,0
21,10%,0
1,10%,1
5,10%,1
7,10%,1
7,10%,1
7,10%,1
7,10%,1
8,10%,1
8,10%,1
8,10%,1
8,10%,1
8,10%,1
8,10%,1
11,10%,1
13,10%,1
14,10%,1
21,10%,0
21,10%,0
21,10%,0
21,10%,0
21,10%,0
21,10%,0
21,10%,0
21,10%,0
21,10%,0
1,10%,1
7,10%,1
7,10%,1
7,10%,1
9,10%,1
9,10%,1
9,10%,1
9,10%,1
9,10%,1
9,10%,1
9,10%,1
9,10%,1
9,10%,1
9,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
7,10%,1
9,10%,1
9,10%,1
9,10%,1
9,10%,1
9,10%,1
9,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
11,10%,1
11,10%,1
11,10%,1
19,10%,1
21,10%,0
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
4,10%,1
8,10%,1
8,10%,1
9,10%,1
9,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
12,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
6,10%,1
6,10%,1
6,10%,1
10,10%,1
10,10%,1
10,10%,1
12,10%,1
21,10%,0
21,10%,0
21,10%,0
21,10%,0
21,10%,0
21,10%,0
21,10%,0
1,10%,1
1,10%,1
1,10%,1
1,10%,1
2,10%,1
5,10%,1
5,10%,1
5,10%,1
7,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
11,10%,1
13,10%,1
13,10%,1
13,10%,1
14,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
4,10%,1
7,10%,1
7,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
14,10%,1
14,10%,1
14,10%,1
14,10%,1
21,10%,1
21,10%,1
21,10%,1
7,10%,1
9,10%,1
9,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
14,10%,1
14,10%,1
14,10%,1
14,10%,1
14,10%,1
14,10%,1
14,10%,1
14,10%,1
14,10%,1
14,10%,1
14,10%,1
14,10%,1
14,10%,1
21,10%,0
21,10%,0
21,10%,0
21,10%,0
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
8,10%,1
8,10%,1
8,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
13,10%,1
13,10%,1
13,10%,1
21,10%,1
21,10%,0
21,10%,0
21,10%,0
1,10%,1
1,10%,1
1,10%,1
2,10%,1
2,10%,1
2,10%,1
3,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
6,10%,1
6,10%,1
6,10%,1
10,10%,1
13,10%,1
15,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
2,10%,1
2,10%,1
2,10%,1
2,10%,1
3,10%,1
3,10%,1
3,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
9,10%,1
9,10%,1
12,10%,1
12,10%,1
14,10%,1
16,10%,1
21,10%,0
21,10%,0
21,10%,0
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
3,10%,1
3,10%,1
3,10%,1
3,10%,1
3,10%,1
4,10%,1
4,10%,1
4,10%,1
5,10%,1
7,10%,1
10,10%,1
10,10%,1
11,10%,1
11,10%,1
14,10%,1
14,10%,1
21,10%,0
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
2,10%,1
2,10%,1
2,10%,1
2,10%,1
2,10%,1
3,10%,1
3,10%,1
3,10%,1
3,10%,1
9,10%,1
16,10%,1
20,10%,1
20,10%,1
21,10%,1
21,10%,1
21,10%,1
21,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
2,10%,1
2,10%,1
2,10%,1
2,10%,1
3,10%,1
3,10%,1
4,10%,1
4,10%,1
5,10%,1
15,10%,1
20,10%,1
20,10%,1
21,10%,1
21,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
1,10%,1
8,10%,1
8,10%,1
8,10%,1
2,10%,1
2,10%,1
4,10%,1
4,10%,1
4,10%,1
4,10%,1
4,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
5,10%,1
7,10%,1
7,10%,1
7,10%,1
1,10%,1
2,10%,1
4,10%,1
4,10%,1
4,10%,1
5,10%,1
5,10%,1
7,10%,1
7,10%,1
7,10%,1
7,10%,1
7,10%,1
8,10%,1
10,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
13,10%,1
2,10%,1
3,10%,1
4,10%,1
4,10%,1
4,10%,1
5,10%,1
5,10%,1
7,10%,1
8,10%,1
9,10%,1
9,10%,1
10,10%,1
10,10%,1
10,10%,1
10,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
11,10%,1
21,10%,0
2,10%,1
2,10%,1
3,10%,1
3,10%,1
4,10%,1
4,10%,1
7,10%,1
5,10%,1
9,10%,1
9,10%,1
9,10%,1
10,10%,1
10,10%,1
10,10%,1
11,10%,1
12,10%,1
12,10%,1
12,10%,1
12,10%,1
12,10%,1
12,10%,1
12,10%,1
12,10%,1
21,10%,0
