Id,Group,Weight,Weightmg
465,0,0.09165,9.165
466,0,0.1269,12.69
467,0,0.0822,8.22
468,0,0.0671,6.71
469,0,0.08245,8.245
470,0,0.0911,9.11
471,0,0.0858,8.58
472,0,0.0853,8.53
473,0,0.0804,8.04
475,0,0.0874,8.74
476,0,0.0798,7.98
477,0,0.0674,6.74
478,0,0.0876,8.76
479,0,0.0905,9.05
480,0,0.0625,6.25
481,0,0.074,7.4
482,0,0.0988,9.88
483,0,0.09932,9.932
484,0,0.0898,8.98
485,0,0.09458,9.458
486,0,0.105,10.5
487,0,0.078,7.8
488,0,0.0663,6.63
489,0,0.09536,9.536
490,0,0.0877,8.77
491,0,0.0865,8.65
492,0,0.09418,9.418
493,0,0.105,10.5
495,0,0.098,9.8
496,0,0.0789,7.89
497,0,0.0673,6.73
499,0,0.0856,8.56
500,0,0.1012,10.12
501,0,0.0887,8.87
502,0,0.09804,9.804
503,3,0.07802,7.802
504,3,0.0988,9.88
505,3,0.0998,9.98
506,3,0.1097,10.97
507,3,0.0978,9.78
508,3,0.0814,8.14
509,3,0.1036,10.36
510,3,0.0969,9.69
511,3,0.1021,10.21
512,3,0.0901,9.01
513,3,0.1139,11.39
514,3,0.1163,11.63
515,3,0.1016,10.16
516,3,0.1073,10.73
517,3,0.0924,9.24
518,3,0.0773,7.73
519,3,0.0904,9.04
520,3,0.0939,9.39
521,3,0.0872,8.72
522,3,0.0998,9.98
523,3,0.0974,9.74
525,3,0.0939,9.39
526,3,0.085,8.5
527,3,0.0705,7.05
528,3,0.0943,9.43
529,3,0.0859,8.59
530,3,0.0851,8.51
531,3,0.1143,11.43
532,3,0.0957,9.57
533,3,0.0842,8.42
534,3,0.1003,10.03
535,3,0.0968,9.68
536,3,0.1013,10.13
537,3,0.0923,9.23
538,3,0.0918,9.18
539,3,0.0859,8.59
540,3,0.0921,9.21
541,3,0.062,6.2
542,3,0.116,11.6
543,3,0.1113,11.13
544,3,0.0909,9.09
545,3,0.0878,8.78
546,3,0.0866,8.66
547,3,0.097,9.7
548,3,0.103,10.3
549,3,0.0965,9.65
550,3,0.0827,8.27
551,3,0.095,9.5
552,3,0.0966,9.66
553,3,0.0589,5.89
554,3,0.1044,10.44
555,3,0.091,9.1
556,3,0.0979,9.79
557,3,0.087,8.7
558,3,0.1123,11.23
559,3,0.093,9.3
560,3,0.0911,9.11
561,3,0.0854,8.54
562,3,0.1106,11.06
563,3,0.0952,9.52
564,3,0.0875,8.75
565,3,0.0908,9.08
566,3,0.0868,8.68
567,3,0.0924,9.24
568,3,0.0805,8.05
569,3,0.0958,9.58
570,3,0.1061,10.61
571,3,0.065,6.5
572,3,0.0977,9.77
573,3,0.09191,9.191
574,3,0.095,9.5
575,3,0.0816,8.16
576,3,0.0853,8.53
577,3,0.0842,8.42
578,3,0.0917,9.17
579,3,0.095,9.5
580,3,0.0945,9.45
581,3,0.076,7.6
582,3,0.0934,9.34
583,3,0.0841,8.41
584,3,0.0734,7.34
585,3,0.0835,8.35
586,3,0.102,10.2
587,3,0.096,9.6
588,3,0.0866,8.66
589,3,0.0872,8.72
590,3,0.0851,8.51
591,3,0.0871,8.71
592,3,0.0799,7.99
593,3,0.0979,9.79
594,3,0.0913,9.13
595,3,0.0901,9.01
596,3,0.098,9.8
597,3,0.0804,8.04
598,3,0.0954,9.54
599,3,0.0837,8.37
600,3,0.0871,8.71
601,3,0.1056,10.56
602,3,0.1052,10.52
603,3,0.0983,9.83
604,3,0.0752,7.52
605,3,0.102,10.2
606,3,0.0771,7.71
607,3,0.0945,9.45
608,3,0.094,9.4
609,3,0.084,8.4
610,3,0.1085,10.85
611,3,0.0853,8.53
612,3,0.0989,9.89
613,3,0.0896,8.96
614,3,0.0955,9.55
615,3,0.1013,10.13
616,3,0.0971,9.71
617,3,0.0944,9.44
618,3,0.0937,9.37
619,3,0.1095,10.95
620,3,0.0911,9.11
621,3,0.1073,10.73
622,3,0.0999,9.99
623,3,0.089,8.9
624,3,0.0914,9.14
625,3,0.0952,9.52
627,3,0.0831,8.31
628,3,0.0909,9.09
629,3,0.0782,7.82
630,3,0.0849,8.49
631,3,0.07845,7.845
632,3,0.0874,8.74
633,3,0.0687,6.87
634,3,0.0742,7.42
635,3,0.0898,8.98
636,3,0.0754,7.54
637,3,0.0667,6.67
638,3,0.0847,8.47
639,3,0.0676,6.76
640,3,0.079,7.9
641,3,0.0746,7.46
642,3,0.0813,8.13
643,3,0.0789,7.89
644,3,0.086,8.6
645,3,0.0965,9.65
646,3,0.081,8.1
647,3,0.0663,6.63
648,6,0.0794,7.94
649,6,0.0932,9.32
650,6,0.0766,7.66
651,6,0.0913,9.13
652,6,0.0641,6.41
653,6,0.1014,10.14
654,6,0.0815,8.15
655,6,0.0727,7.27
656,6,0.0752,7.52
657,6,0.0546,5.46
658,6,0.0702,7.02
659,6,0.0738,7.38
660,6,0.0618,6.18
661,6,0.09,9
662,6,0.0703,7.03
663,6,0.1036,10.36
664,6,0.1022,10.22
665,6,0.0685,6.85
666,6,0.071,7.1
667,6,0.073,7.3
668,6,0.0944,9.44
669,6,0.0692,6.92
670,6,0.0849,8.49
671,6,0.0856,8.56
672,6,0.0708,7.08
673,6,0.075,7.5
674,6,0.0881,8.81
675,6,0.078,7.8
676,6,0.0816,8.16
677,6,0.0886,8.86
678,6,0.0876,8.76
679,6,0.0971,9.71
680,6,0.0966,9.66
681,6,0.0951,9.51
682,6,0.0811,8.11
683,6,0.0761,7.61
684,6,0.0916,9.16
685,6,0.1039,10.39
686,6,0.0922,9.22
687,6,0.0846,8.46
688,6,0.0759,7.59
689,6,0.0783,7.83
690,6,0.0943,9.43
691,6,0.0705,7.05
692,6,0.085,8.5
693,6,0.097,9.7
694,6,0.082,8.2
695,6,0.0789,7.89
696,6,0.082,8.2
697,6,0.0747,7.47
698,6,0.0885,8.85
699,6,0.0756,7.56
700,6,0.0738,7.38
701,6,0.0726,7.26
702,6,0.0843,8.43
703,6,0.0806,8.06
704,6,0.0865,8.65
